GifID,GIF URL,VIEWS,RATING,ULD,ULM,ULY,ULT,TRD,TRM,TRY,TRT,TAGS
oz0gllRNkMqhei4WMt,https://giphy.com/gifs/hyperrpg-reaction-star-wars-oz0gllRNkMqhei4WMt,3156905,g,14,2,2018,08:05:44,19,2,2018,02:30:01,happy|reaction|smile|star wars|reactions|heart|mrw|star|twitch|rpg|action|look|and|the|smiling|empire|hyper rpg|valentine|hyperrpg|flirt|flirting|wars|of|hyper|emotions|emo|goth|hyper_rpg|emma|pencils and parsecs|grin|flirty|pnp|edge|that|pencilsandparsecs|edge of the empire|pencils|parsecs|siren|charm|edgy|seduce|emma fyffe|emmafyffe|heartbreaker|bad idea|fyffe|vamp|that look|breaker|mischievous|devious|edgelord|Flirtatious|edge lord|seducer|GIF|Animated GIF
l4FGsppW543iVtdni,https://giphy.com/gifs/hyperrpg-confused-hyper-rpg-l4FGsppW543iVtdni,3098177,g,27,6,2017,01:36:25,2,7,2017,19:45:01,game|wtf|youtube|what|live|mrw|confused|twitch|rpg|internet|online|nerd|geek|hyper rpg|nerds|d&d|nerdy|geeky|geeks|hyperrpg|hyper|stream|roleplaying|hyper_rpg|role playing|interweb|confusion|dafuq|vanquished|valiant|jonny cruz|jonnycruzzz|jay goldsten|GIF|Animated GIF
xT1Ra3ujWGrcLF2LO8,https://giphy.com/gifs/hyperrpg-love-reaction-xT1Ra3ujWGrcLF2LO8,3072614,g,17,1,2018,23:55:57,1,1,2000,00:00:00,love|cute|happy|reaction|smile|star wars|excited|kawaii|twitch|beautiful|action|adorable|joy|smiling|hyper rpg|handsome|hyperrpg|flirt|hyper_rpg|content|pencils and parsecs|grin|amused|pnp|cheerful|joyful|pencilsandparsecs|delighted|entertained|grinning|charm|emma fyffe|emmafyffe|hawt|appreciate|kylara|edge of empire|gloat|disarming|GIF|Animated GIF
3oxQNjfhv3hQlInrzO,https://giphy.com/gifs/hyperrpg-game-star-wars-3oxQNjfhv3hQlInrzO,3063289,g,15,2,2018,04:56:38,4,3,2018,05:00:01,game|no|star wars|youtube|live|laugh|face|laughing|twitch|nope|rpg|internet|online|nerd|geek|hyper rpg|nerds|d&d|nerdy|geeky|geeks|hyperrpg|done|facepalm|oh no|stream|drop|nah|roleplaying|hyper_rpg|role playing|gm|pencils and parsecs|interweb|pnp|game master|palm|pencilsandparsecs|dislike|edge of the empire|give up|bert|no more|bert jennings|ninjanomics101|jennings|reject|disapprove|facepalming|oppose|GIF|Animated GIF
4Zo3ZY8zyiOmpXHlwy,https://giphy.com/gifs/hyperrpg-game-love-4Zo3ZY8zyiOmpXHlwy,3033280,g,24,3,2018,17:46:15,1,1,2000,00:00:00,game|love|cute|reaction|kiss|hot|reactions|heart|twitch|beautiful|rpg|action|adorable|nerd|geek|dnd|the|bunny|kissing|rabbit|hyper rpg|nerds|d&d|nerdy|handsome|geeky|geeks|emotion|hyperrpg|dating|flirt|drive|date|hyper|emotions|roleplaying|hyper_rpg|bro|role playing|loving|brothers|bros|puppet|on|smooch|luv|gm|affection|puppets|eww|game master|ceo|zac|actions|overlord|hart|make out|dungeon master|charm|peck|zac eubank|hawt|turned|inappropriate|venture bros|eubank|hyper drive|hyperdrive|aroused|devotion|affectionate|turned on|the venture bros|wuv|zaceubank|thumper|arentweclever|ceo overlord|ceooverlord|oversnort|venture|venture brothers|hand puppet|smooching|GIF|Animated GIF
l4FGl5oHLL4vqOvV6,https://giphy.com/gifs/hyperrpg-hide-hyper-rpg-l4FGl5oHLL4vqOvV6,3024224,g,27,6,2017,01:51:13,27,6,2017,13:15:01,hyper rpg|hide|vanquished|zac eubank|zaceubank|duck and cover|GIF|Animated GIF
l2Sq7ovPYma6L0JQ4,https://giphy.com/gifs/hyperrpg-roleplaying-pathfinder-the-gauntlet-l2Sq7ovPYma6L0JQ4,2916890,g,30,8,2016,06:24:10,1,1,2000,00:00:00,game|rpg|winner|roleplaying|congratulations|loser|pathfinder|you win|the gauntlet|won nothing|GIF|Animated GIF
3ohs7TYAa0bj6RcdKU,https://giphy.com/gifs/hyperrpg-cool-yellow-3ohs7TYAa0bj6RcdKU,2862795,g,9,11,2017,19:40:27,1,1,2000,00:00:00,cool|yellow|hyper rpg|jack|hyperrpg|power rangers|jacket|saban|hyperforce|leather jacket|fonzie|too cool|yellow ranger|paul schrier|fonz|paulschrier|popped collar|GIF|Animated GIF
kiux4l78sSgyXeIFjM,https://giphy.com/gifs/hyperrpg-game-funny-kiux4l78sSgyXeIFjM,2851834,g,27,3,2018,02:27:52,28,3,2018,04:15:01,game|funny|happy|reaction|comedy|sad|excited|cool|reactions|live|twitch|rpg|internet|online|power|nerd|geek|silly|react|joy|big|and|dnd|gross|go|sassy|hilarious|nerds|d&d|nerdy|geeky|geeks|emotion|joke|hyperrpg|hate|battle|story|paper|hyper|dice|stream|tabletop|kaiju|burn|emotions|not|roll|die|roleplaying|content|bro|power rangers|rolling|role playing|master|want|attitude|force|sarcasm|sass|do|sarcastic|morph|gm|dm|streaming|unimpressed|embarrassed|disgusted|pen|disgust|interweb|rangers|do not want|amused|grid|eww|dungeon|cheerful|joyful|cheeky|zac|mecha|dislike|delighted|entertained|morphing|ranger|not impressed|roast|dungeon master|saban|mech|not amused|ashamed|cool story bro|go go|hyperforce|hyper force|brah|pathetic|eubank|zaceubank|roleplayer|arentweclever|megazord|dungeonmaster|pen and paper|so sad|tude|sabans|shattered|gamemaster|zordon|saban's|zord|zords|thunderzord|shatteredgrid|shattered grid|this is so sad|this is sad|GIF|Animated GIF
x0ddNTItTXW1ZpNSh3,https://giphy.com/gifs/hyperrpg-game-reaction-x0ddNTItTXW1ZpNSh3,2710798,g,3,4,2018,04:33:16,1,1,2000,00:00:00,game|reaction|angry|reactions|live|mad|twitch|rpg|action|internet|online|upset|power|nerd|geek|react|big|and|dnd|gross|go|actor|nerds|d&d|nerdy|geeky|geeks|rage|emotion|hyperrpg|hate|battle|paper|actress|over|hyper|dice|serious|stream|tabletop|kaiju|emotions|stare|not|roll|die|roleplaying|power rangers|rolling|role playing|want|force|pissed|do|staring|morph|streaming|disgusted|pen|disgust|interweb|rangers|do not want|suspicious|voice|conspiracy|furious|mecha|dislike|actions|morphing|ranger|glare|bitter|cristina|saban|offended|mech|go go|paranoid|hyperforce|hyper force|watching you|outraged|enraged|leigh|heated|irritable|roleplayer|megazord|pen and paper|sabans|black ranger|zordon|eyes on you|vee|saban's|voiceover|zord|zords|thunderzord|vesper|glaring|vo|vasquez|cristina vee|voice over|cristinavee|do not trust|not trusting|i have my eyes on you|GIF|Animated GIF
